"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[histology]"	"Sample Characteristic Ontology Term[histology]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[histology]"	"Factor Value Ontology Term[histology]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2973289"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_53"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973290"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_55"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973291"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_57"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973292"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_66"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973293"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_69"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973294"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_70"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973295"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_72"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973296"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_74"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973297"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_77"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973298"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_87"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973299"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_95"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973300"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_01"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973301"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_02"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973302"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_05"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973303"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_07"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973304"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_08"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973305"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_09"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973306"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_11"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973307"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_13"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973308"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_15"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973309"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_20"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973310"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_21"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973311"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_23"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973312"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_24"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973313"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_25"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973314"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_27"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973315"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_28"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973316"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_29"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973317"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_31"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973318"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_32"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973319"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_33"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973320"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_36"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973321"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_37"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973322"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_39"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973323"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_40"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973324"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_41"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
